Hotel,Price,City,Address
Stratton Hotel Asokoro (Formerly BON Hotel Stratton Asokoro),"₦84,050","Asokoro, Abuja","Bola Ige Close, Mohammadu Ribadu Street, Off Shehu Shagari Way, Asokoro, Area 11"
Vita Di Lusso,"₦200,000","Maitama, Abuja","No. 8 Iller Crescent, Off Katsina Ala Street, Maitama"
S.A Mews Luxury Apartment,"₦120,000","Asokoro, Abuja",No.10 Ukpabi Ashika Street Off Yakubu Gowon Cresent
3J's Hotels,"₦88,600","Utako, Abuja",Plot 31 P.O.W. Mafemi Crescent.
Sheraton Abuja Hotel,"₦108,900","Maitama, Abuja","Ladi Kwali Way, Maitama, Abuja"
The Envoy,"₦80,000","Abuja, Abuja","305 Diplomatic Drive, Central Business District"
The Knot Abuja,"₦150,000","Asokoro, Abuja","No 30, Ty Danjuma Street, Asokoro,"
Fraser Suites Abuja,"₦120,000","Central Business District, Abuja","Plot 294, Leventis Close"
BON Hotel Abuja (Formerly Protea Hotel Abuja),"₦80,000","Maitama, Abuja","3 Negro Crescent, Maitama"
Mya Homes & Suites,"₦90,000","Maitama, Abuja",3 Missouri Street  Off Colorado Street  Maitama
The Envoy,"₦80,000","Abuja, Abuja","305 Diplomatic Drive, Central Business District"
Fraser Suites Abuja,"₦120,000","Central Business District, Abuja","Plot 294, Leventis Close"
Stratton Hotel Asokoro (Formerly BON Hotel Stratton Asokoro),"₦84,050","Asokoro, Abuja","Bola Ige Close, Mohammadu Ribadu Street, Off Shehu Shagari Way, Asokoro, Area 11"
Sheraton Abuja Hotel,"₦108,900","Maitama, Abuja","Ladi Kwali Way, Maitama, Abuja"
3J's Hotels,"₦88,600","Utako, Abuja",Plot 31 P.O.W. Mafemi Crescent.
The Knot Abuja,"₦150,000","Asokoro, Abuja","No 30, Ty Danjuma Street, Asokoro,"
Mya Homes & Suites,"₦90,000","Maitama, Abuja",3 Missouri Street  Off Colorado Street  Maitama
BON Hotel Abuja (Formerly Protea Hotel Abuja),"₦80,000","Maitama, Abuja","3 Negro Crescent, Maitama"
Vita Di Lusso,"₦200,000","Maitama, Abuja","No. 8 Iller Crescent, Off Katsina Ala Street, Maitama"
S.A Mews Luxury Apartment,"₦120,000","Asokoro, Abuja",No.10 Ukpabi Ashika Street Off Yakubu Gowon Cresent
The Palms Hotel ,"₦80,000","Central Business District, Abuja","Plot 269 Mohammadu Buhari Way, Central Business District"
Transcorp Hilton Abuja,"₦102,434","Maitama, Abuja","1 Aguiyi Ironsi Street Maitama, Abuja"
 SheilaMartins Apartment,"₦65,000","Katampe, Abuja",House 13 Harmony Court Katampa District
Carlton Apex Apartments,"₦72,000","Abuja, Abuja","Plot 154 Henry Nkemadu Street, Behind GAA School Kaura District"
Behere Nigeria,"₦64,500","Jabi, Abuja","Plot 8/9 ICS Drive Off Citech Road, Dakibiyu By Jabi"
L'eola Suites,"₦62,300","Central Business District, Abuja","5th Floor, Leadway House, Plot 1061, Herbert Macaulay Way, (by NNPC Towers) Central Business District."
The Francis Hotel,"₦60,000","Abuja, Abuja","Plot 423, Adekunle Fajuyi Street"
Sandralia Hotel,"₦65,000","Jabi, Abuja","No 1. SOlomon Lar Way, Jabi"
SV Chrome Hotel,"₦59,000","Jabi, Abuja","No. 101A Ebitu Ukiwe Street, Jabi, Abuja, FCT"
 Ateilier Boutique Hotels,"₦70,000","Asokoro, Abuja","12, Ukpabi Asika Street, Off Ajayi Crowther Street, Asokoro"
THE WELLS CARLTON HOTEL AND APARTMENTS,"₦57,000","Asokoro, Abuja","8 Gado Nasko Close, Off Jose Marti Street, Asokoro, Abuja, Nigeria"
Tofana Hotels And Apartments,"₦50,000","Life Camp, Abuja","Behind Skye Bank, Life Camp"
Summerset Continental Hotel,"₦57,500","Maitama, Abuja",73 Usuma Street
Benny Rose Hotel,"₦52,500","Garki, Abuja","Number 6, Umudioka Close, Off Ngwe Close, Area 3, Garki, Abuja."
Mace 3 Bedroom Serviced Apartment - Life Camp,"₦50,000","Life Camp, Abuja","Paradise Estate, Life-camp"
Ayalla Hotels,"₦49,000","Garki, Abuja","Off Ahmadu Bello Way,garki Area 11,ibi Close Behind Kia Motors,abuja."
Treasure Suites And Conferences,"₦50,000","Central Business District, Abuja","Plot 66, 1st Avenue By Shehu Shagari Way, CBD Abuja, Opposite Federal High Court H/Q"
Grand Pela Hotel And Suites,"₦55,000","AMAC, Abuja","Plot 649 Cadastral Zone, Durumi"
URBAN ROOTZ GUEST HOUSE,"₦47,250","Maitama, Abuja",Volta Street Maitama Abuja
LEZSCO LUXURY APARTMENT HOTEL,"₦52,000","Asokoro, Abuja","14, Otuoke Street, Asokoro Zone D, Off Gimbiya Street, Area 11 (Formerly 56, Onitsha Crescent ) Abuja."
De Franklin Apartments,"₦44,000","Gwarimpa , Abuja","1, Paul Muotolum Crescent, Plot 1010 Old Gwarimpa Road OffAsba & Dantata Street, Life Camp Abuja"
Stonehedge Hotel,"₦44,500","Central Business District, Abuja","1041 Kur Mohammed Street, Central Business District, Abuja"
Ibeto Hotels Abuja,"₦46,000",", Abuja","#34 David Ejoor Crescent   Apo, Gudu District   Abuja."
YOUR PLACE AT ASOKORO,"₦45,000","Asokoro, Abuja",# 1 JULIUS NYERERE CRESCENT ASOKORO
Golden Gate Hotel,"₦45,000","Wuse, Abuja","2, Tessaqua Street, Off Mombassa Street, Zone 5."
Peniel Apartments Abuja,"₦45,000","Wuse, Abuja","Plot 171 Adetokunbo Ademola Crescent, Off IBB Way,"
Rockview Hotel Royale,"₦44,203","Wuse, Abuja",196 CAD Zone A8 Adetokunbo Ademola Crescent
"HT-Oriental Serviced Luxury Apartment, Abuja","₦45,000","Wuse 2, Abuja","Pakali Close Off Aminu Kano Crescent, Wuse 2"
Valencia Hotels Abuja,"₦45,825","Wuse, Abuja","44 Blantyre Street, Off Adetokunbo Ademola Crescent"
Newton Park Hotel,"₦45,000","Wuse, Abuja","Plot 2175 Cadastral Zone, 8 Cape Town Street, Of Ibrahim Babangida Way, Wuse Zone 4, Abuja"
Chelsea Hotel (Central Business District) ,"₦43,650","Central Business District , Abuja","Plot 123 Cadastral Zone A0, Cadastral Zone"
Nicon Luxury,"₦40,191","Garki, Abuja",Plot 903 Tafawa Balewa Way Area 11
The Nordic Villa,"₦39,970","Jabi, Abuja","No. 52, Mike Akhigbe Way"
Alphaplus Apartments,"₦43,000","Jabi, Abuja","No 91 Ebitu Ukiwe Street, Jabi, FCT"
THE STATEMENT HOTEL,"₦40,000","Central Business District, Abuja","Plot 1002, 1st Avenue By Shehu Shagari Way, Opposite The Federal High Court Headquarters, Central Business District Abuja."
Lakewood Luxury Apartments,"₦40,000","Asokoro, Abuja","5 Margaret Thatcher Close Off Queen Elizabeth Street, Asokoro."
Summerset Continental Hotel (Asokoro),"₦40,000","Asokoro, Abuja","Plot # 104, Kwame Nkurumah, Off Thomas Sankara Street, Asokoro, Abuja (beside Ecowas Secretariat )"
Duchess Villa Grand Hotel,"₦40,000","Wuse 2, Abuja","15, Mondou Street, Wuse II, Abuja"
Ozidu House,"₦40,000","Maitama, Abuja",No 24 Osun Crescent Maitama
Immaculate Suites ,"₦40,000","Wuse, Abuja",Plot 110 Adetunko Ademola Crescent
Blackrock Apartments @ Villa,"₦39,600","Asokoro, Abuja","No. 9, Malcolm Fraser Street, Asokoro"
BON Hotel Elvis,"₦51,450","Wuse 2, Abuja","2 Monrovia Street, Wuse II"
Immaculate Platinum Luxury Resorts,"₦45,000","Wuse 2, Abuja","24, Lobito Crescent, Wuse 2"
 Hawthorn Suites By Wyndham,"₦39,200","Garki, Abuja","1 Uke Street, 900001, Area 11."
The Corinthia Villa H﻿otel & Suites,"₦38,000","Garki 2, Abuja","No 9, Arochukwu Street, Area 11, Old CBN By Old Ferma, Garki 2"
Reiz Continental Hotel,"₦36,190","Garki, Abuja","Plot 779, Cadastral Zone AO,Central Business District"
QUALIBEST GRAND HOTEL,"₦36,000","Utako, Abuja","51 M.L. Wushishi St, Utako, District, Abuja"
Chelsea Hotel (Wuse 2),"₦39,900","Wuse, Abuja","Plot 374 E, Adetokunbo Ademola Crescent."
BON Hotel Apo Residence,"₦36,000","Apo, Abuja","2 Ahmadu Bello Way, Apo, (Opposite Legislative Quarters)"
Bolton White Hotels ,"₦39,500","Garki, Abuja","7 Gwandu Street Opposite Sahad Stores Area 11, Garki 2, Abuja"
Villa Picasso (Abuja),"₦33,000","Maitama, Abuja","22 Gana Street, Maitama, Abuja. ( Opposite Transcorp Hilton Hotel)"
Gombe Jewel Hotel,"₦32,500","Wuse, Abuja",22 N'djemena Street
"Rockview Hotel Classic, Wuse","₦33,605","Wuse, Abuja",Plot 194 Cadastral Zone A8 Adetokunbo Ademola Crescent
Quo Vadis Hotel,"₦33,000","Wuse 2, Abuja",Tarkwa Close
Sigma Apartments,"₦33,000","Wuse 2, Abuja","1 Embu Street, Off Aminu Kano Crescent"
Bon Hotels Grand Towers,"₦32,000","Katampe, Abuja",Plot 1139 Cadastral Zone
Rosebud Hotel And Apartment ,"₦35,000","Central Business District, Abuja",Plot 1042 Kur Mohammed Way Ekiti House
The Ambassador International Resort And Suites,"₦32,000","Jabi  , Abuja","6, Patrick Bokkor Crescent, Off Ebitu Ukiwe Street, Jabi"
Denis Hotel,"₦35,000","Wuse, Abuja","Plot 910, Malabo Street, Off Aminu Kano Crescent"
Tenache Hotels ,"₦32,000","Maitama , Abuja","No 3 Missouri Street, Off Colorado Minister's Hill Maitama Abuja."
Statement Hotel,"₦30,000","Central Business District, Abuja","1002 Ahmadu Bello Way, Phase ,1 Beside Abia House"
Jades Hotels,"₦29,900","Wuse, Abuja","No. 24 Ndola Crescent Opposite NYSE Secretariat, Zone 5 Wuse Abuja"
Newton Park Hotels And Resorts Limited Annex,"₦31,500","Wuse 2, Abuja","Plot 24 Alexander Close Off Ahmadu Bello Way, By Bannex Junction, Wuse 2, Abuja"
AES Luxury Apartments,"₦30,000","Jabi, Abuja","Plot 1118 Daki Biu District, Jabi/Airport Road"
Caledonian Suites,"₦40,000","Maitama, Abuja","21 Usuma Street, Off Gana Street, Maitama"
Iris Hotel Abuja,"₦30,550","Wuse 2, Abuja","34 Lingu Crescent, Off Aminu Kano Crescent, Wuse 2"
Mayfair Hotel Abuja,"₦30,000","Maitama, Abuja","2 Danube Street, Off IBB Way, Maitama"
Nugget Hotels,"₦27,500","Utako, Abuja",Plot 129 Okotie Eboh Crescent
WAXRIDE RESIDENCE,"₦28,750","Life Camp, Abuja","Plot 728 Olu Agabi Close, By Tak Continental Estate, Life Camp Abuja"
Inkova Suites,"₦29,700","Life Camp, Abuja","Plot 453 Cadastral Zone Off Femi Kila Street Efab Estate Road, Life Camp"
E-Suites,"₦25,000","Asokoro, Abuja",No. 21 Jesse Jackson Street Off Jimmy Carter Street By Protea Asokoro
Zizi Apartment Abuja,"₦25,200","Garki, Abuja","115 Emeka Anyaoku Street, Area 8 Garki"
1 Oak Place,"₦25,800","Maitama, Abuja",NO. 38 Euphrates Street Maitama
"BARCELONA HOTELS, ABUJA","₦25,200","Wuse 2, Abuja","23 Blantyre Street, Off Aminu Kano Crescent, Wuse II"
The Manal Hotel & Resort,"₦27,000","Utako, Abuja","Plot 1001, Ibrahim Tahir Lane, Off Shehu Musa Yaradua Way Abuja"
Sheer Luxury Apartments ,"₦25,000","Garki 2, Abuja",Plot 1659 Sapele Street Off Akintola Boulevard
Casalinda Hotel ,"₦28,500","Wuse 2, Abuja","6 Takwa Crescent, Wuse 2 , By Exclusive Stores"
Ville Regent Hotel ,"₦25,000","Wuse, Abuja","Plot 1247, Aminu Kano Crescent"
Cubana Suites,"₦25,000","Maitama, Abuja","20 Yadseram Street, Maitama,"
KINDEA HOTELS ( Formerly Lake Chad Palace Hotel),"₦25,000","Maitama, Abuja",No. 4 Lake Alau Close Off Lake Chad Crescent IBB Boulevard
Starview Palace Hotel,"₦25,000","Gwarinpa, Abuja","Plot 7, 4th Avenue (by Setraco Gate)"
Royalton Hotels Abuja,"₦25,000","Area 2 Garki, Abuja","No. 16, Gongola Street, Off Moshood Abiola Way, Via Aces Nursery, Primary And Secondary School Junction, Area 2, Garki FCT"
Zees Luxury Hotel,"₦25,000","Garki, Abuja","Plot 718 Sentinel Crescent, Off American International School Road, Durumi, FCT, Abuja."
Commodore Suites,"₦25,000","Wuse, Abuja",Plot 432 Kumasi Crescent Off Aminu Kano Crescent
Madugu Hotels ,"₦25,000","Jabi, Abuja",18 Ebitu Ukiwe Street Jabi
Champions Lodge,"₦25,000","Asokoro, Abuja",Plot 3347 Justice Lawal Uwais Street
"THE MAYFAIR LUXURY SERVICED BEDROOM APARTMENT, ABUJA","₦25,000","Maitama, Abuja","15b Mekong Street, Off Euphrates Crescent, Maitama"
Alim Royal Hotel And Suites.,"₦25,000","Mabuchi, Abuja","Plot 9, A02 Cadastral Zone Ahmadu Bello Way, Mabushi, Abuja"
Georgio Hotel And Resort,"₦25,000","Maitama, Abuja",2 Asa Street By Salt Lake Off Gana Street
IVANA SUITES APARTMENTS,"₦25,000","Wuse2, Abuja","NO.20 LINGU CRESCENT, OFF AMINO KANO CRESENT, WUSE 11 , ABUJA."
Inti's Royal Suites,"₦23,000","Garki 2, Abuja","Plot 287, Ladoke Akintola Boulevard"
Hotel Reno,"₦23,500","Katampe, Abuja","Plot 1068, Off Nnamdi Azikiwe Express Way, Opposite NICON Junction, Katampe District"
Noktel Resort Apartment – Jabi,"₦25,000","Jabi, Abuja","Plot 903 Olu Awotesu Street, Jabi"
Heavenly Royal Apartments,"₦24,150","Katampe, Abuja","No.43 Patrick Yakowa Street Close To Federal Inland Revenue,katempe Extension Opp.gwarimpa"
Kapital Klub ,"₦23,000","Asokoro, Abuja","No 3, Gamal Abdul Nasser Close, Near World Bank, Asokoro, Abuja, FCT."
Bolton White Apartment,"₦35,000","Wuse 7, Abuja","31 Kigoma Street, Opp. Federal Road Safety Agency"
Western Dreams Hotel,"₦23,000","Jabi, Abuja","Plot 387 Idris Ibrahim Crescent, Opposite Golf Course"
Sun Heaven Hotel Asokoro,"₦23,000","Asokoro, Abuja","36 Manman Nasir, Asokoro,"
Hotel De Bently,"₦23,750","Utako, Abuja","894, N, Okonjoiweala Way, Utako, Abuja"
Onyx Hotel ,"₦24,000","Garki, Abuja","12 Ayedun Close, Off Gwandu Street, By Sahad Stores, Area 11"
Marlene Suites And Hotel,"₦22,000","Gwarinpa, Abuja","Plot 485, Wole Soyinka Avenue, Gwarinpa (2nd Avenue)"
Nippon Grand Hotels,"₦22,000","Kado, Abuja","Plot 102 Ahmadu Bello, Kado Express Way, Opp Nest Cash"
Grand Cubana Hotel,"₦22,500","Jabi, Abuja","6 Ebitu Ukiwe St,"
Pearl Manor Luxury Suites,"₦22,500","Galadimawa, Abuja","10/18, Osun Street, Suncity Estate"
Ishakool Hotel,"₦22,000","Garki 2, Abuja","No 5, Oke- Agbe Street Off Ladoke Akintola Boulevard, Garki 2"
Vines Hotel,"₦23,000","Durumi, Abuja","1104, Mohammed N. Umar Lane, Durumi"
Hans Place,"₦22,000","Asokoro, Abuja","No. 14, Plot 583A, Ganassingbe Eyadema Street"
Residency Hotel Area 11,"₦22,000","Garki , Abuja","Plot 4 Port Harcourt Crescent, Garki"
The Pennsylvania Avenue Hotel And Suite,"₦22,000","Utako, Abuja","Plot 42, IBM Haruna Crescent Behind Utako Market"
Idyll Fountain And Gardens Hotels,"₦22,000","Wuse, Abuja","Plot 4350, Andola S, Wuse, Zone 5."
"Top Rank Hotels Galaxy, Asokoro","₦20,562","Asokoro, Abuja","No 23 HASSAN MUSA KATSINA Street, Beside The New River State Gov's Lodge Asokoro, After Jamaican High Commission Off Justice Sowemimo Street, Asokoro"
Residency Hotel Guzape Abuja,"₦21,000","Guzape, Abuja","(Plot 740 Nasir El-Rufai Crescent, Asokoro Extension Guzape Hills (5 Minutes Away From City Center), Near COZA Church)."
Newcastle Hotel,"₦20,405","Wuse, Abuja","7 Kumasi Crescent, Off Aminu Kano Crescent"
Pauliham Hotels ,"₦20,925","Gwarinpa, Abuja","Plot 520, 1st Avenue, Opposite Naval Quaters"
Petrus Hotels Royale,"₦21,250","Garki, Abuja","7, Agatu Street Off Gimbiya Street, Off Ahmadu Bello Way, Area 11."
Hotel De Horizone,"₦21,850","Wuse, Abuja","Plot 5, Kandi Close, Off Aminu Kano Crescent, Wuse II, Abuja"
Tranquil Mews Boutique Hotel,"₦20,250","Utako, Abuja","Plot 1079, Behind Julius Berger Head Quarters, Off Ngozi Okonjo Iweala Way, By Good Tidings Church, Utako"
The Missouri Hotel,"₦20,000","Maitama, Abuja","8, Missouri Street, Off  Colorado Close Minister's Hill."
VYNEDRESA HOTEL ABUJA ,"₦20,000","Garki , Abuja","8 Uyo Crescent, Off Emeka Anyaoku Street, Area 11, Garki,Abuja"
Pearl Gate Hotel,"₦20,000","Wuse Zone 4, Abuja","11 SUEZ CRESCENT, SANI ABACHA ESTATE, OFF LADI KWALI WAY, ZONE 4,WUSE, ABUJA."
FINMARK APARTMENTS,"₦20,000","Apo, Abuja","7, EVANS ENWEREM STREET, NATIONAL ASSEMBLY QUATERS ZONE A, APO"
Pennsylvania Avenue Hotel,"₦20,000","Utako, Abuja","24 I. B. M. Haruna, Utako,"
Capital Roost,"₦20,000","Maitama, Abuja","2, Victoria Falls, Maitama. Off Lasale Street By CBN Training Institute, Abuja, Nigeria"
Swiss Pearl Continental Hotel,"₦20,000","Wuse 2, Abuja","No. 3 Koforidua Street, Wuse Zone 2"
LaVila Hotels,"₦20,000","Gwarinpa, Abuja","1085, 69 Rd, Gwarinpa Estate, Abuja, Nigeria"
Lavender Suites Abuja,"₦25,000","Jabi, Abuja","No 6 Etang Obuli Crescent, By Idris Ibrahim Off Obafemi Awolowo Way, Jabi"
HEARTLAND PLACE AND EVENT HOTEL,"₦20,000","Central Business District, Abuja",N0.82 Ralph Shodeinde Street (NEXT TO RIVER'S HOUSE) Opp. Federal Ministry Of Finance
Lake Crescent Hotel,"₦20,000","Jabi, Abuja","No 29, Umaru Dikko Street, Jabi, Abuja"
D White Royalty Place - Maitama,"₦20,000","Maitama, Abuja","No, 29 Ontario Crescent, Off Mississippi Street, Maitama 900271"
The Duchess Hotel And Spa,"₦20,000","Maitama, Abuja","N0 2, Lake Valencia Crescent, Off Limpopo Street Maitama"
Emzrel Hotels And Suites,"₦19,000","Wuse, Abuja",Plot 797 Ademola Adetokumbo Crescent
Ojays Guest House,"₦19,000","Kaura, Abuja","23/25 Drive 6, Phase 2 Prince And Princess Estate"
 Hotel Rosebud,"₦18,400","Garki, Abuja","33 Port Harcourt Crescent Off Gimbiya Street, Garki, Area 11,"
Saabhi's Place,"₦19,000","Wuye, Abuja","Plot 1191, Off Reuben Okoya Crescent, Wuye District, Abuja"
Sharon Ultimate Hotels,"₦19,000","Garki, Abuja","Plot 1710, Tafawa Balewa Way, Area 3"
"The Capital Apartments, Abuja","₦18,900","Asokoro, Abuja","No 4 Tito Broz Off Jimmy Carter Avenue, Asokoro"
"Crown Apartments Extended Stay Suites,Abuja","₦18,750","Asokoro, Abuja","Plot 1373 (NO3) Justice Atanda Fatai Williams Street, Asokoro"
Agura Hotel,"₦19,500","Garki, Abuja","Moshod Abiola Road, P.M.B 40 Abuja,Nigeria."
"Top Rank Hotels Galaxy, Abuja","₦18,400","Abuja, Abuja","Plot 245, Pow Mafemi, Off Solomon Lar Way, Utako, Abuja, Utako, Nigeria ,"
Nordic Hospitality Suites,"₦18,500","Jabi, Abuja",No 14 Patrick O Bokkor Cresent Jabi
1st Forty Hotel,"₦17,800","Wuse, Abuja","Plot 38, Aminu Kano Crescent"
Parkview Hotels,"₦17,500","Wuse, Abuja","Plot 2390, Takoradi Street, Opposite Amusement Park, Wuse Zone 1, Abuja, Nigeria"
Bjorne Suites,"₦18,000","Wuse 2, Abuja","28 Agadez Crescent, Off Aminu Kano Crescent"
Residency Hotel Utako Abuja,"₦18,000","Utako, Abuja",36 Moses Majekodunmi Street Zone B05 Utako
Barca Liga Hotels,"₦18,000","Apo, Abuja","Franca Afegbua Crescent, Gudu District, Near Zone E, Apo Legislative Quarters"
Esenyo Luxury Apartments And Villa ,"₦18,000","Kado, Abuja","Plot 335 Water Park Road, Kado District By Navy Quarters"
"Vichi Gates Hotel, Abuja","₦17,500","Mabuchi, Abuja",1499 Ahmadu Bello Way Zone B06 Zipcode - 900108. Mabushi
DWELL APARTMENTS,"₦18,000","Maitama, Abuja","No. 21 Ganges Street, Off Alvan Ikoku Way, Minister's Hill Maitama"
 Casa Estrella Hotel,"₦18,000","Maitama, Abuja","Plot 2, Sakuru Close, Off Rima Street, By El-Amin Int'l School And Signature House"
Bolingo Hotel And Towers,"₦18,000","Central Business District, Abuja","Independent Avenue Central Business District, Garki P. O. Box 4654"
Citi Lodge Hotel,"₦16,000","Garki , Abuja","Plot 595 Durumi Road, Area 1, By Old Secretariat"
